Estado_Anterior,Alta,Baixa,Estavel
Alta,0.33760683760683763,0.32905982905982906,0.33333333333333326
Baixa,0.4194373401534527,0.30179028132992325,0.27877237851662406
Estavel,0.3815789473684211,0.3131578947368421,0.3052631578947369
